Id,Start time,Completion time,I love,Age Band,Loving Marmite,DMA motivation,Optimistic about future,Favourite movie,Today I am feeling,Way to relax,Hours of sleep,Number of sweets,Duration
31,2025-02-24 13:48:43,2025-02-24 13:51:33,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,Star Wars (1977),Happy,Gaming,1.7259112761844837,20.0,0 days 00:02:50
32,2025-02-24 13:49:04,2025-02-24 13:51:34,Cat,25 to 30,Don't know what it is,Increase knowledge of subject area,Agree,None of the above,Tired,Gaming,1.7259112761844837,6.0,0 days 00:02:30
33,2025-02-24 13:49:01,2025-02-24 13:51:34,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,The Shawshank Redemption,Happy,Bath and Bed,-1.4382593968204025,1.0,0 days 00:02:33
34,2025-02-24 13:48:48,2025-02-24 13:51:35,Cat,25 to 30,Don't know what it is,Relevant to my research,Neutral,None of the above,Tired,Bath and Bed,-1.4382593968204025,80.0,0 days 00:02:47
35,2025-02-24 13:48:48,2025-02-24 13:51:38,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Strongly Agree,Star Wars (1977),Happy,Long walk,-0.38353583915210704,5.0,0 days 00:02:50
36,2025-02-24 13:48:51,2025-02-24 13:51:39,Neither,18 to 24,No,Increase knowledge of subject area,Strongly Agree,None of the above,Happy,Gaming,0.6711877185161883,4.0,0 days 00:02:48
37,2025-02-24 13:48:56,2025-02-24 13:51:42,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,Toy Story,Tired,Long walk,-0.38353583915210704,7.0,0 days 00:02:46
38,2025-02-24 13:49:07,2025-02-24 13:51:42,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,Toy Story,Happy,Gaming,-0.38353583915210704,5.0,0 days 00:02:35
39,2025-02-24 13:49:00,2025-02-24 13:51:42,Cat,18 to 24,Don't know what it is,Relevant to my research,Disagree,Toy Story,Tired,Gaming,-0.9108976179862547,5.0,0 days 00:02:42
40,2025-02-24 13:49:00,2025-02-24 13:51:42,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,Toy Story,Tired,Long walk,-0.38353583915210704,7.0,0 days 00:02:42
